86,183
115,177
135,193
92,186
21,49
27,162
59,90
126,163
26,140
136,172
168,11
29,167
130,182
123,62
135,67
2,129
58,22
167,69
56,193
42,11
173,29
119,21
137,184
124,198
170,115
126,13
180,91
73,156
170,62
81,196
125,105
127,84
105,136
129,46
57,113
95,124
145,182
167,14
164,34
150,43
8,87
178,76
184,188
51,3
199,154
60,132
168,76
12,139
186,26
139,94
170,195
178,34
1,67
102,97
92,117
156,52
80,101
41,86
89,65
19,44
129,40
117,31
171,97
75,81
127,109
56,167
153,97
165,186
83,106
24,19
71,128
29,132
19,103
168,70
115,108
149,140
123,196
45,18
51,46
155,121
88,179
28,164
150,41
100,193
164,34
114,124
56,187
91,143
165,27
136,59
151,32
28,37
7,75
121,74
195,58
37,29
193,35
28,18
11,143
129,128
4,176
163,43
138,13
40,6
18,104
88,128
117,169
196,117
143,124
183,70
99,90
125,172
190,44
139,105
186,154
82,69
64,142
107,197
4,155
11,148
28,22
143,99
168,146
22,140
10,111
1,5
130,61
105,78
136,120
26,44
65,122
16,108
58,82
37,124
24,62
36,0
99,52
150,179
71,68
131,173
130,81
94,133
163,60
181,199
196,99
173,159
68,13
95,190
66,126
140,84
84,90
142,176
107,136
156,45
18,179
12,87
172,148
9,59
10,136
187,142
101,6
172,113
55,121
199,19
104,121
11,139
67,140
28,105
150,127
58,184
24,120
69,22
81,196
84,30
172,92
50,72
185,25
99,22
42,40
113,98
190,98
190,124
181,9
136,19
155,132
4,194
169,179
176,73
55,50
142,60
84,179
5,193
167,21
13,104
154,161
59,126
2,144
106,2
21,184
68,42
189,128
108,72
98,158
8,36
48,153
133,103
48,133
154,90
146,167
129,168
46,100
197,188
190,49
33,103
97,163
92,53
125,86
196,152
188,175
129,157
60,36
121,14
104,60
27,28
148,50
102,156
97,194
43,99
2,39
3,28
81,100
138,47
151,159
134,135
92,139
127,15
29,104
164,49
29,85
135,143
100,177
171,38
89,149
188,167
195,92
144,143
190,29
140,82
169,141
32,26
42,61
117,160
161,23
109,81
25,190
167,196
34,77
26,90
57,124
168,14
158,5
186,112
146,100
194,126
152,116
129,178
90,146
170,47
80,51
193,31
27,57
86,112
155,14
90,112
79,12
169,10
74,189
41,155
33,20
88,187
166,138
84,170
17,56
60,6
37,49
59,5
118,17
183,145
58,73
37,73
83,89
78,7
114,157
129,71
59,100
38,18
188,25
33,74
81,157
158,93
